student_id,first_name,last_name,credential_type,credential_data,issuer,issue_date
STU037,Avery,Wilson,degree,"{""degree_name"":""Bachelor of Science"",""major"":""Computer Science"",""graduation_date"":""2023-01-20"",""gpa"":3.35}",University System,2023-01-20
STU038,Cameron,Moore,transcript,"{""semester"":""Spring 2024"",""courses"":[{""course"":""CS101"",""grade"":""A""},{""course"":""MATH201"",""grade"":""B+""},{""course"":""ENG101"",""grade"":""A-""}],""semester_gpa"":3.5}",University System,2023-01-30
STU039,Parker,Taylor,certificate,"{""certificate_name"":""Blockchain Development"",""grade"":""A"",""instructor"":""Dr. Smith"",""completion_date"":""2023-02-09""}",University System,2023-02-09
STU040,Quinn,Anderson,degree,"{""degree_name"":""Bachelor of Science"",""major"":""Computer Science"",""graduation_date"":""2023-02-19"",""gpa"":3.0}",University System,2023-02-19
STU041,Alex,Smith,transcript,"{""semester"":""Spring 2024"",""courses"":[{""course"":""CS101"",""grade"":""A""},{""course"":""MATH201"",""grade"":""B+""},{""course"":""ENG101"",""grade"":""A-""}],""semester_gpa"":3.3}",University System,2023-03-01
STU042,Jordan,Johnson,certificate,"{""certificate_name"":""Blockchain Development"",""grade"":""A"",""instructor"":""Dr. Smith"",""completion_date"":""2023-03-11""}",University System,2023-03-11
STU043,Taylor,Lee,degree,"{""degree_name"":""Bachelor of Science"",""major"":""Computer Science"",""graduation_date"":""2023-03-21"",""gpa"":3.15}",University System,2023-03-21
STU044,Morgan,Brown,transcript,"{""semester"":""Spring 2024"",""courses"":[{""course"":""CS101"",""grade"":""A""},{""course"":""MATH201"",""grade"":""B+""},{""course"":""ENG101"",""grade"":""A-""}],""semester_gpa"":3.6}",University System,2023-03-31
STU045,Casey,Davis,certificate,"{""certificate_name"":""Blockchain Development"",""grade"":""A"",""instructor"":""Dr. Smith"",""completion_date"":""2023-04-10""}",University System,2023-04-10
STU046,Riley,Miller,degree,"{""degree_name"":""Bachelor of Science"",""major"":""Computer Science"",""graduation_date"":""2023-04-20"",""gpa"":3.3}",University System,2023-04-20
STU047,Avery,Wilson,transcript,"{""semester"":""Spring 2024"",""courses"":[{""course"":""CS101"",""grade"":""A""},{""course"":""MATH201"",""grade"":""B+""},{""course"":""ENG101"",""grade"":""A-""}],""semester_gpa"":3.4}",University System,2023-04-30
STU048,Cameron,Moore,certificate,"{""certificate_name"":""Blockchain Development"",""grade"":""A"",""instructor"":""Dr. Smith"",""completion_date"":""2023-05-10""}",University System,2023-05-10
STU049,Parker,Taylor,degree,"{""degree_name"":""Bachelor of Science"",""major"":""Computer Science"",""graduation_date"":""2023-05-20"",""gpa"":3.45}",University System,2023-05-20
STU050,Quinn,Anderson,transcript,"{""semester"":""Spring 2024"",""courses"":[{""course"":""CS101"",""grade"":""A""},{""course"":""MATH201"",""grade"":""B+""},{""course"":""ENG101"",""grade"":""A-""}],""semester_gpa"":3.2}",University System,2023-05-30
