student_id,first_name,last_name,credential_type,credential_data,issuer,issue_date,record_hash
STU023,Taylor,Lee,transcript,"{""semester"":""Spring 2024"",""courses"":[{""course"":""CS101"",""grade"":""A""},{""course"":""MATH201"",""grade"":""B+""},{""course"":""ENG101"",""grade"":""A-""}],""semester_gpa"":3.5}",University System,2022-09-02,d62f7eb9433e5e55e16c929f7c69bda089f1975aecf6f6fc29f26a45deaea683
STU024,Morgan,Brown,certificate,"{""certificate_name"":""Blockchain Development"",""grade"":""A"",""instructor"":""Dr. Smith"",""completion_date"":""2022-09-12""}",University System,2022-09-12,21982c68276d93e080b557b569e842b077beaaf38d7570082f438db39714c190
STU025,Casey,Davis,degree,"{""degree_name"":""Bachelor of Science"",""major"":""Computer Science"",""graduation_date"":""2022-09-22"",""gpa"":3.25}",University System,2022-09-22,fccb5ff7904df0ae14c82d69d247d6c4e08aa3a02c91f03d357511fd4a149bf1
STU026,Riley,Miller,transcript,"{""semester"":""Spring 2024"",""courses"":[{""course"":""CS101"",""grade"":""A""},{""course"":""MATH201"",""grade"":""B+""},{""course"":""ENG101"",""grade"":""A-""}],""semester_gpa"":3.3}",University System,2022-10-02,e25ea0d1df8b122ffc8c285a9139806d2bfc772ad7949ba85648533bd5eedf8d
STU027,Avery,Wilson,certificate,"{""certificate_name"":""Blockchain Development"",""grade"":""A"",""instructor"":""Dr. Smith"",""completion_date"":""2022-10-12""}",University System,2022-10-12,3427494239e659e48a99190bcd967ca3a879c18eb9e2de9d6cec2dcc50fe12a1
STU028,Cameron,Moore,degree,"{""degree_name"":""Bachelor of Science"",""major"":""Computer Science"",""graduation_date"":""2022-10-22"",""gpa"":3.4}",University System,2022-10-22,650f8b995088e7ef2c9adf4402ca7395b993f393ecc94b0498b80ce9fa21b0c1
STU029,Parker,Taylor,transcript,"{""semester"":""Spring 2024"",""courses"":[{""course"":""CS101"",""grade"":""A""},{""course"":""MATH201"",""grade"":""B+""},{""course"":""ENG101"",""grade"":""A-""}],""semester_gpa"":3.6}",University System,2022-11-01,8dd185336ab34f8b8916bb0b8a189c679f3273677c476c84ff3fb6d11f14f50b
STU030,Quinn,Anderson,certificate,"{""certificate_name"":""Blockchain Development"",""grade"":""A"",""instructor"":""Dr. Smith"",""completion_date"":""2022-11-11""}",University System,2022-11-11,d005f6f984ab8f9cd0053013ee231d92726ce1b59ed205aa31ff5b5cda5b6ed7
STU031,Alex,Smith,degree,"{""degree_name"":""Bachelor of Science"",""major"":""Computer Science"",""graduation_date"":""2022-11-21"",""gpa"":3.05}",University System,2022-11-21,2f153a397ae8beabb9a089700868569087b1d991a9a2e84b825363ca70826f64
STU032,Jordan,Johnson,transcript,"{""semester"":""Spring 2024"",""courses"":[{""course"":""CS101"",""grade"":""A""},{""course"":""MATH201"",""grade"":""B+""},{""course"":""ENG101"",""grade"":""A-""}],""semester_gpa"":3.4}",University System,2022-12-01,49f280111d0dfe2ea61dfaec93bb397474017f43b6cf1c112586747379da6460
STU033,Taylor,Lee,certificate,"{""certificate_name"":""Blockchain Development"",""grade"":""A"",""instructor"":""Dr. Smith"",""completion_date"":""2022-12-11""}",University System,2022-12-11,2ed7436935ae0ce9db2dd18bcb8344c26fe0364fd247385f9316fac4ce97d1aa
STU034,Morgan,Brown,degree,"{""degree_name"":""Bachelor of Science"",""major"":""Computer Science"",""graduation_date"":""2022-12-21"",""gpa"":3.2}",University System,2022-12-21,b40cbbefc344707e38017f951f3ad97583a9b8e3578de641de035a27a2119f8b
STU035,Casey,Davis,transcript,"{""semester"":""Spring 2024"",""courses"":[{""course"":""CS101"",""grade"":""A""},{""course"":""MATH201"",""grade"":""B+""},{""course"":""ENG101"",""grade"":""A-""}],""semester_gpa"":3.2}",University System,2022-12-31,0a9d64d9173d12ef547bd3af1bca67f2334c4aa2c532c016146389e2ea7f07ae
STU036,Riley,Miller,certificate,"{""certificate_name"":""Blockchain Development"",""grade"":""A"",""instructor"":""Dr. Smith"",""completion_date"":""2023-01-10""}",University System,2023-01-10,e76adc672f80ea0e81aa9932bc236497c41b3c5154271223702fcd0ca6ffa6b3
STU037,Avery,Wilson,degree,"{""degree_name"":""Bachelor of Science"",""major"":""Computer Science"",""graduation_date"":""2023-01-20"",""gpa"":3.35}",University System,2023-01-20,396a21224e878818beaa567aff9e8e856be2c37f5c3620eae8428b852df14b0e
STU038,Cameron,Moore,transcript,"{""semester"":""Spring 2024"",""courses"":[{""course"":""CS101"",""grade"":""A""},{""course"":""MATH201"",""grade"":""B+""},{""course"":""ENG101"",""grade"":""A-""}],""semester_gpa"":3.5}",University System,2023-01-30,eeea77b8b4fd91cfdaf27a9724e7e779517d267f35e80afb380d04fa5e580a7d
STU039,Parker,Taylor,certificate,"{""certificate_name"":""Blockchain Development"",""grade"":""A"",""instructor"":""Dr. Smith"",""completion_date"":""2023-02-09""}",University System,2023-02-09,45b9de2f5de6703ad2f3f45b7230c213ed0c2ba9134b81c952d1dea2aee836b2
STU040,Quinn,Anderson,degree,"{""degree_name"":""Bachelor of Science"",""major"":""Computer Science"",""graduation_date"":""2023-02-19"",""gpa"":3.0}",University System,2023-02-19,ff80b8e248c458f315364565fe60e9758225524f7df312a22ca5723f9fc30836
STU041,Alex,Smith,transcript,"{""semester"":""Spring 2024"",""courses"":[{""course"":""CS101"",""grade"":""A""},{""course"":""MATH201"",""grade"":""B+""},{""course"":""ENG101"",""grade"":""A-""}],""semester_gpa"":3.3}",University System,2023-03-01,ea7ba0781955da68f1b00b09c13ff6f6057910d73aa97cf4f83dffd43755c106
STU042,Jordan,Johnson,certificate,"{""certificate_name"":""Blockchain Development"",""grade"":""A"",""instructor"":""Dr. Smith"",""completion_date"":""2023-03-11""}",University System,2023-03-11,abd74da9e7289d06ae261767227903d753b1e9d1618da75b13bf929a13269a1c
STU043,Taylor,Lee,degree,"{""degree_name"":""Bachelor of Science"",""major"":""Computer Science"",""graduation_date"":""2023-03-21"",""gpa"":3.15}",University System,2023-03-21,23de6897d99ee98c19755ef9a7efb6b2483a1c41bcb6d9d409f990c1d8e5f703
STU044,Morgan,Brown,transcript,"{""semester"":""Spring 2024"",""courses"":[{""course"":""CS101"",""grade"":""A""},{""course"":""MATH201"",""grade"":""B+""},{""course"":""ENG101"",""grade"":""A-""}],""semester_gpa"":3.6}",University System,2023-03-31,bed495a1241e0ef3b8d149ef4bd6da9b5d659c39b6cc218b7e6ddf41272d5296
STU045,Casey,Davis,certificate,"{""certificate_name"":""Blockchain Development"",""grade"":""A"",""instructor"":""Dr. Smith"",""completion_date"":""2023-04-10""}",University System,2023-04-10,4c358904df87046456df71bb03d68d62a7cf782dfec64d102d144b45355864fc
STU046,Riley,Miller,degree,"{""degree_name"":""Bachelor of Science"",""major"":""Computer Science"",""graduation_date"":""2023-04-20"",""gpa"":3.3}",University System,2023-04-20,f925b994082f90fcaec8683f10d01e8c258ddd20b0b76ed338b494e2f04e83e3
STU047,Avery,Wilson,transcript,"{""semester"":""Spring 2024"",""courses"":[{""course"":""CS101"",""grade"":""A""},{""course"":""MATH201"",""grade"":""B+""},{""course"":""ENG101"",""grade"":""A-""}],""semester_gpa"":3.4}",University System,2023-04-30,ed6ede0c39755f49f9f0c99a9418de9c467e3390da153347da6a81a1de6bf819
STU048,Cameron,Moore,certificate,"{""certificate_name"":""Blockchain Development"",""grade"":""A"",""instructor"":""Dr. Smith"",""completion_date"":""2023-05-10""}",University System,2023-05-10,3bfadc1ac773adb3d88b5232f05089ceca91a3155219a9ab13439ac05809077e
STU049,Parker,Taylor,degree,"{""degree_name"":""Bachelor of Science"",""major"":""Computer Science"",""graduation_date"":""2023-05-20"",""gpa"":3.45}",University System,2023-05-20,4ef13fb27ecdb2bf6f48f3e81269954e5c70074a832ba2be817d55f609042c27
STU050,Quinn,Anderson,transcript,"{""semester"":""Spring 2024"",""courses"":[{""course"":""CS101"",""grade"":""A""},{""course"":""MATH201"",""grade"":""B+""},{""course"":""ENG101"",""grade"":""A-""}],""semester_gpa"":3.2}",University System,2023-05-30,1663bc5f714a441b8efcd0d87fea9843079ba83b8d0eacd541e646358a5ae186
STU051,Alex,Smith,certificate,"{""certificate_name"":""Blockchain Development"",""grade"":""A"",""instructor"":""Dr. Smith"",""completion_date"":""2023-06-09""}",University System,2023-06-09,a50f9ab1c0087e1da92c7a584056d6e10783943fb24933ee06837767ec9901fe
STU052,Jordan,Johnson,degree,"{""degree_name"":""Bachelor of Science"",""major"":""Computer Science"",""graduation_date"":""2023-06-19"",""gpa"":3.1}",University System,2023-06-19,ccf91c3ac511b450610a126066f024f567a6fe0f48cce4f35da360b0e2c64ab0
STU053,Taylor,Lee,transcript,"{""semester"":""Spring 2024"",""courses"":[{""course"":""CS101"",""grade"":""A""},{""course"":""MATH201"",""grade"":""B+""},{""course"":""ENG101"",""grade"":""A-""}],""semester_gpa"":3.5}",University System,2023-06-29,2f6669cceea5d72fab6ac4749759eba581770e48a35ef67568b404a793588416
STU054,Morgan,Brown,certificate,"{""certificate_name"":""Blockchain Development"",""grade"":""A"",""instructor"":""Dr. Smith"",""completion_date"":""2023-07-09""}",University System,2023-07-09,57f0507972d61238d8db3fcca6c83355a06cd63398b18bfb1a9a2260c049cb51
STU055,Casey,Davis,degree,"{""degree_name"":""Bachelor of Science"",""major"":""Computer Science"",""graduation_date"":""2023-07-19"",""gpa"":3.25}",University System,2023-07-19,1d694be1e8609025c2b83b2f4a6691cd21a82d6ce5fd6ba0426c6b3928549253
STU056,Riley,Miller,transcript,"{""semester"":""Spring 2024"",""courses"":[{""course"":""CS101"",""grade"":""A""},{""course"":""MATH201"",""grade"":""B+""},{""course"":""ENG101"",""grade"":""A-""}],""semester_gpa"":3.3}",University System,2023-07-29,955b09f4f1e65f1a25c6407898d9d1e889d7bd0a4036925d3bbcdb5b6b8c0bb6
STU057,Avery,Wilson,certificate,"{""certificate_name"":""Blockchain Development"",""grade"":""A"",""instructor"":""Dr. Smith"",""completion_date"":""2023-08-08""}",University System,2023-08-08,42710c1bd8b1baeea0ba722167fececec1ca9ae704e640f18b5c4160bc4d5a5e
STU058,Cameron,Moore,degree,"{""degree_name"":""Bachelor of Science"",""major"":""Computer Science"",""graduation_date"":""2023-08-18"",""gpa"":3.4}",University System,2023-08-18,e9baf2a7f05d51059ea8c329bc9ef14d2014c0f5464381ff2b0b7b87844debb0
STU059,Parker,Taylor,transcript,"{""semester"":""Spring 2024"",""courses"":[{""course"":""CS101"",""grade"":""A""},{""course"":""MATH201"",""grade"":""B+""},{""course"":""ENG101"",""grade"":""A-""}],""semester_gpa"":3.6}",University System,2023-08-28,b4b4e141cc64dd22ade56db01ab731890aee186b347d86d6d37a29f16eddbcae
STU060,Quinn,Anderson,certificate,"{""certificate_name"":""Blockchain Development"",""grade"":""A"",""instructor"":""Dr. Smith"",""completion_date"":""2023-09-07""}",University System,2023-09-07,3ee5ada684f2360ad2236209230a0447126a9f133fb928a3dd16c35be2955da4
